Priority,Page URL,File,Page Title,Meta Description,H1 Count,H1 Text,Shared JS,GA Present,GTM Present,HubSpot Present,reCAPTCHA Present,Primary Gaps,Review Status,Owner,Notes
P1 - Main site page,/capabilities/ai-and-data,capabilities/ai-and-data/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Make decisions in hours, not weeks.",yes,no,no,no,no,GA not present | GTM not present | 10 image alt items,Needs Review,,
P1 - Main site page,/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,GA not present | GTM not present | 16 image alt items,Needs Review,,
P1 - Main site page,/capabilities/cloud-and-infrastructure-engineering,capabilities/cloud-and-infrastructure-engineering/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Cut cloud costs by 35% while deploying twice as fast.,yes,no,no,no,no,GA not present | GTM not present | 10 image alt items,Needs Review,,
P1 - Main site page,/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Resolve incidents in minutes, not hours. Prevent breaches before they happen.",yes,no,no,no,no,GA not present | GTM not present | 10 image alt items,Needs Review,,
P1 - Main site page,/capabilities,capabilities/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,GA not present | GTM not present | 16 image alt items,Needs Review,,
P1 - Main site page,/capabilities/security-and-governance,capabilities/security-and-governance/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Pass audits without slowing down delivery. Deploy AI without regulatory risk.,yes,no,no,no,no,GA not present | GTM not present | 12 image alt items,Needs Review,,
P2 - Other,/celsior-ai-lab,celsior-ai-lab/index.html,Celsior | AI-First Digital Engineering,Present,1,Stop funding AI programs that stop at the pilot stage.,yes,no,no,no,no,GA not present | GTM not present | 18 image alt items,Needs Review,,
P2 - Other,/celsior-ai-lab,celsior-ai-lab.html,Celsior | AI-First Digital Engineering,Present,1,Stop funding AI programs that stop at the pilot stage.,yes,no,no,no,no,GA not present | GTM not present | 18 image alt items,Needs Review,,
P2 - Other,/cloud-infrastructure-engineering,cloud-infrastructure-engineering.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Cut cloud costs by 35% while deploying twice as fast.,yes,no,no,no,no,GA not present | GTM not present | 10 image alt items,Needs Review,,
P2 - Other,/cost-efficiency,cost-efficiency.html,Celsior | AI-First Digital Engineering,Present,1,Engineering efficiency that pays for itself.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P2 - Other,/design-lab,design-lab/index.html,Celsior | AI-First Digital Engineering,Present,2,Design Lab · CX Journey Design | Stop building products your customers didn't ask for.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 12 image alt items | Content/SEO: Multiple H1s found: 2 | Content/SEO: Multiple H1s found: 2,Needs Review,,
P2 - Other,/design-lab,design-lab.html,Celsior | AI-First Digital Engineering,Present,2,Design Lab · CX Journey Design | Stop building products your customers didn't ask for.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 12 image alt items | Content/SEO: Multiple H1s found: 2 | Content/SEO: Multiple H1s found: 2,Needs Review,,
P2 - Other,/digital-experience,digital-experience.html,Celsior | AI-First Digital Engineering,Present,1,Experience the difference. Engineered for your customer.,yes,yes,no,no,no,GTM not present | 15 image alt items,Needs Review,,
P2 - Other,/digital-operations,digital-operations.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Resolve incidents in minutes, not hours. Prevent breaches before they happen.",yes,no,no,no,no,GA not present | GTM not present | 10 image alt items,Needs Review,,
P2 - Other,/frameworks-accelerators,frameworks-accelerators/index.html,Celsior | AI-First Digital Engineering,Present,2,Frameworks and Accelerators | SAI pilots are easy. Getting them to production without rebuilding everything is the hard part.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 6 image alt items | Content/SEO: Multiple H1s found: 2 | Content/SEO: Multiple H1s found: 2,Needs Review,,
P2 - Other,/frameworks-accelerators,frameworks-accelerators.html,Celsior | AI-First Digital Engineering,Present,2,Frameworks and Accelerators | SAI pilots are easy. Getting them to production without rebuilding everything is the hard part.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 6 image alt items | Content/SEO: Multiple H1s found: 2 | Content/SEO: Multiple H1s found: 2,Needs Review,,
P2 - Other,/gcc-nearshore,gcc-nearshore.html,Celsior | Solutions — Managed Programs,Missing,1,The engineering depth your programs need. On the time zone your teams can work with.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 10 image alt items | SEO: Missing meta description,Needs Review,,
P2 - Other,/hire-train-deploy,hire-train-deploy.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P2 - Other,/how-we-deliver,how-we-deliver.html,How we Deliver — Celsior,Missing,1,Flexible Delivery Models Built for Regulated Enterprises.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P2 - Other,/how-we-do-it,how-we-do-it.html,How We Do It › AI/ML Engineering — Celsior,Present,1,AI/ML Engineering Built for Regulated Industries.,yes,no,no,no,no,GA not present | GTM not present,Needs Review,,
P0 - Homepage,/,index.html,Celsior — Modernize. Operate. Innovate.,Present,5,"Engineer Faster. Ship Smarter. Scale Without Limits | From systems that hold your business back, to AI that moves it forward. | Banking | Insurance | Healthcare",yes,no,no,no,no,H1 count: 5 | GA not present | GTM not present | Content/SEO: Multiple H1s found: 5,Needs Review,,
P2 - Other,/industries,industries.html,Industries — Celsior,Missing,1,Built for the Three Most Regulated Sectors in Enterprise Technology.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P2 - Other,/managed-programs,managed-programs.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Celsior | AI-First Digital Engineering,Present,1,Deploy AI that regulators can audit and businesses can trust,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Celsior | AI-First Digital Engineering,Present,1,AI-First digital engineering that evolves at the speed of your business.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Celsior | AI-First Digital Engineering,Present,1,Engineering efficiency that pays for itself.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/our-focus/digital-experience,our-focus/digital-experience/index.html,Celsior | AI-First Digital Engineering,Present,1,Experience the difference. Engineered for your customer.,yes,yes,no,no,no,GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/our-focus,our-focus/index.html,Celsior | AI-First Digital Engineering,Present,1,AI-First digital engineering that evolves at the speed of your business.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Celsior | AI-First Digital Engineering,Present,1,Regulated by design. Resilient by architecture.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P2 - Other,/partner-ecosystem,partner-ecosystem.html,Partner Ecosystem — Celsior,Present,1,Your Platform Investment Performs Better With a Certified Practice Behind It.,yes,no,no,no,no,GA not present | GTM not present,Needs Review,,
P1 - Partner,/partners/guidewire,partners/guidewire/index.html,Celsior | AI-First Digital Engineering,Present,2,GUIDEWIRE TECHNICAL PARTNER · P&C INSURANCE INTELLIGENCE | Take your Guidewire platform from implementation to competitive advantage.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 3 image alt items | Content/SEO: Multiple H1s found: 2,Needs Review,,
P1 - Partner,/partners,partners/index.html,Partner Ecosystem — Celsior,Present,1,Your Platform Investment Performs Better With a Certified Practice Behind It.,yes,no,no,no,no,GA not present | GTM not present,Needs Review,,
P1 - Partner,/partners/jack-henry,partners/jack-henry/index.html,Celsior | AI-First Digital Engineering,Present,2,JACK HENRY FINTECH INTEGRATION NETWORK MEMBER · BANKING INTELLIGENCE | Community and regional banks that outperform their peers run tighter operations on Jack Henry.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 3 image alt items | Content/SEO: Multiple H1s found: 2,Needs Review,,
P1 - Partner,/partners/servicenow,partners/servicenow/index.html,Celsior | AI-First Digital Engineering,Present,2,ServiceNow Implementation Partner • BFSI Intelligence | Structured Service Operations for Regulated Industries. On ServiceNow.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 3 image alt items | Content/SEO: Multiple H1s found: 2,Needs Review,,
P2 - Other,/risk-compliance,risk-compliance.html,Celsior | AI-First Digital Engineering,Present,1,Regulated by design. Resilient by architecture.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P2 - Other,/security-governance,security-governance.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Pass audits without slowing down delivery. Deploy AI without regulatory risk.,yes,no,no,no,no,GA not present | GTM not present | 12 image alt items,Needs Review,,
P1 - Main site page,/solutions/ai-upskilling,solutions/ai-upskilling/index.html,Celsior | Solutions — Managed Programs,Missing,1,The return on your AI investment depends entirely on whether your workforce can act on it. Celsior ensures they can.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 10 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/solutions/gcc-and-nearshore,solutions/gcc-and-nearshore/index.html,Celsior | Solutions — Managed Programs,Missing,1,The engineering depth your programs need. On the time zone your teams can work with.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 10 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/solutions,solutions/index.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/solutions/managed-programs,solutions/managed-programs/index.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/solutions/teams-as-a-service,solutions/teams-as-a-service/index.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/solutions/technology-consulting,solutions/technology-consulting/index.html,Celsior | Solutions — Managed Programs,Missing,1,Technology architecture thatconverts risk into revenue.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 10 image alt items | SEO: Missing meta description,Needs Review,,
P2 - Other,/success-stories,success-stories/index.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P2 - Other,/teams-as-a-service,teams-as-a-service.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P2 - Other,/technology-consulting,technology-consulting.html,Celsior | Solutions — Managed Programs,Missing,1,Technology architecture thatconverts risk into revenue.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 10 image alt items | SEO: Missing meta description,Needs Review,,
P2 - Other,/what-we-solve,what-we-solve.html,AI Readiness — What We Solve | Celsior,Missing,1,AI Ambition. Zero Readiness Gap.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
