Page URL,File,Page Title,Meta Description Status,H1 Count,H1 Text,Shared JS,GA Present,GTM Present,HubSpot Present,reCAPTCHA Present,Known Issues,Owner,Status,Notes
/ai-led-engineering,ai-led-engineering.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/ai-upskilling,ai-upskilling.html,Celsior | Solutions — Managed Programs,Missing,1,The return on your AI investment depends entirely on whether your workforce can act on it. Celsior ensures they can.,yes,no,no,no,no,SEO: Missing meta description | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780294854/63f34698f565c005a29820ab6de35ef32cf5ac | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780295659/53_jo5x8m.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780295659/54_xggjcq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780295659/55_gjigb4.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780297225/22_ioe0kc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780297225/23_fpkwrt.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780297225/24_glizc1.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780298821/16_yfwmw4.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780298830/17_pysdef.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780298828/18_ju1rap.png,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Banking & Financial Services — Celsior,Present,2,Banking & Financial Services / 20+ Institutions | Decades of data. Dozens of systems. Zero unified picture. We fix that.,yes,no,no,no,no,Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png,,Needs Review,
/banking-financial-services,banking-financial-services.html,Banking & Financial Services — Celsior,Present,2,Banking & Financial Services / 20+ Institutions | Decades of data. Dozens of systems. Zero unified picture. We fix that.,yes,no,no,no,no,Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png,,Needs Review,
/capabilities/ai-and-data,capabilities/ai-and-data/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Make decisions in hours, not weeks.",yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994286/34_ncgiuz.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994287/35_wa7bjj.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994287/36_q8jhwq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/cloud-and-infrastructure-engineering,capabilities/cloud-and-infrastructure-engineering/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Cut cloud costs by 35% while deploying twice as fast.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Resolve incidents in minutes, not hours. Prevent breaches before they happen.",yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780026818/37_l5xezt.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780026818/38_gbcycu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780026818/39_sasun0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities,capabilities/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/security-and-governance,capabilities/security-and-governance/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Pass audits without slowing down delivery. Deploy AI without regulatory risk.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780032040/40_djh2cq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780032040/41_sxar5k.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780032040/42_ysyekf.png | Accessibility: Image missing alt text: https://plus.unsplash.com/premium_photo-1681843039768-0e22b7a031d5?q=80&w=1172&auto=format&fit=crop& | Accessibility: Image missing alt text: https://images.unsplash.com/photo-1460925895917-afdab827c52f?q=80&w=1115&auto=format&fit=crop&ixlib= | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Celsior | AI-First Digital Engineering,Present,1,Stop funding AI programs that stop at the pilot stage.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779800255/25_biq55h.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779800255/26_pxmywa.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779800255/27_mocsc3.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779868187/10_gx9hyg.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779868187/11_yegzhd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779868187/12_hobiox.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303698/20_yfp8j7.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303698/21_ktmdre.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779800255/25_biq55h.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779800255/26_pxmywa.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779800255/27_mocsc3.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779868187/10_gx9hyg.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779868187/11_yegzhd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779868187/12_hobiox.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303698/20_yfp8j7.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303698/21_ktmdre.png,,Needs Review,
