Page URL,File,Button / CTA Label,Current Destination,Destination Type,CSS Class,Final Destination,Owner Confirmation,Status,Notes
/about-leadership,about-leadership/index.html,Get in touch,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/about,about.html,Talk to us,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/about,about.html,Back to Home,index.html,Other / needs review,btn-g,,,Needs Review,
/about,about.html,Get in touch,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/ai-adoption,ai-adoption.html,Explore CAFE Framework →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/ai-adoption,ai-adoption.html,Explore HALO Framework →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/ai-adoption,ai-adoption.html,Explore PACE Platform →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/ai-adoption,ai-adoption.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/ai-adoption,ai-adoption.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/ai-adoption,ai-adoption.html,Assess Your Readiness,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/ai-adoption,ai-adoption.html,Explore Our Approach,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/ai-and-data,ai-and-data.html,Request a Data Assessment,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/ai-and-data,ai-and-data.html,Transform Your Data Estate →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/ai-and-data,ai-and-data.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Explore Modernization →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Explore Cloud Engineering →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Learn About Teams-as-a-Service →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Explore Our Approach,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Schedule Consultation →,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/ai-innovation,ai-innovation.html,Talk to us,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/ai-innovation,ai-innovation.html,Back to Home,index.html,Other / needs review,btn-g,,,Needs Review,
/ai-innovation,ai-innovation.html,Get in touch,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/ai-led-engineering,ai-led-engineering.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/ai-led-engineering,ai-led-engineering.html,Start Your Transformation →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/ai-led-engineering,ai-led-engineering.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/ai-led-engineering,ai-led-engineering.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Explore Our Upskilling Programs,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Schedule a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Productivity Loss,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Role Readiness,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Adoption Risk,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/ai-upskilling,ai-upskilling.html,Governance Gaps,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Schedule a Discovery Call,#contact,Same-page anchor / contact section,cta-band-btn-primary cta-band-btn,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Download Capabilities Deck,#,Placeholder / needs final URL,cta-band-btn-outline,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Schedule a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Explore Our Focus Areas,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Front-End Modernization at Scale,(button/no href),Button / JS action - needs manual check,ci-tab,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Enterprise Platform Rollout,(button/no href),Button / JS action - needs manual check,ci-tab,,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Digital Market Expansion,(button/no href),Button / JS action - needs manual check,ci-tab,,,Needs Review,
/capabilities/ai-and-data,capabilities/ai-and-data/index.html,Request a Data Assessment,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/capabilities/ai-and-data,capabilities/ai-and-data/index.html,Transform Your Data Estate →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/capabilities/ai-and-data,capabilities/ai-and-data/index.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,Start Your Transformation →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/capabilities/cloud-and-infrastructure-engineering,capabilities/cloud-and-infrastructure-engineering/index.html,Explore Our Framework,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/capabilities/cloud-and-infrastructure-engineering,capabilities/cloud-and-infrastructure-engineering/index.html,Start Your Cloud Journey →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/capabilities/cloud-and-infrastructure-engineering,capabilities/cloud-and-infrastructure-engineering/index.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,Request an Operations Assessment,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,Explore Our Frameworks,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,Strengthen Your Operations →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/capabilities,capabilities/index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/capabilities,capabilities/index.html,Start Your Transformation →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/capabilities,capabilities/index.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/capabilities,capabilities/index.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/capabilities/security-and-governance,capabilities/security-and-governance/index.html,Request a Governance Assessment,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/capabilities/security-and-governance,capabilities/security-and-governance/index.html,Explore Our Frameworks,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/capabilities/security-and-governance,capabilities/security-and-governance/index.html,Build Governance That Scales →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/capabilities/security-and-governance,capabilities/security-and-governance/index.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Explore Modernization →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Explore Cloud Engineering →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Learn About Teams-as-a-Service →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Read More,#,Placeholder / needs final URL,approach-btn,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Start with an AI Readiness Assessment,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Explore The Lab,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/celsior-ai-lab,celsior-ai-lab/index.html,Schedule a Pilot Review →,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/cloud-infrastructure-engineering,cloud-infrastructure-engineering.html,Explore Our Framework,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/cloud-infrastructure-engineering,cloud-infrastructure-engineering.html,Start Your Cloud Journey →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/cloud-infrastructure-engineering,cloud-infrastructure-engineering.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/cost-efficiency,cost-efficiency.html,Explore Further →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/cost-efficiency,cost-efficiency.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/cost-efficiency,cost-efficiency.html,Assess Your Cost Structure →,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/cost-efficiency,cost-efficiency.html,Speak with Our Cost & Efficiency Practice,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/cost-efficiency,cost-efficiency.html,Assess Your Core Structure,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/cost-efficiency,cost-efficiency.html,Book a Meeting,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/design-lab,design-lab/index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/design-lab,design-lab/index.html,Explore The Lab,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/design-lab,design-lab/index.html,Schedule a Pilot Review →,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/digital-experience,digital-experience.html,Explore Further →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/digital-experience,digital-experience.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/digital-experience,digital-experience.html,Speak with Our R&C Practice →,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/digital-experience,digital-experience.html,Assess Your Control Environment →,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/digital-experience,digital-experience.html,Assess Your Control Environment,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/digital-experience,digital-experience.html,Schedule a Conversation,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/digital-operations,digital-operations.html,Request an Operations Assessment,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/digital-operations,digital-operations.html,Explore Our Frameworks,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/digital-operations,digital-operations.html,Strengthen Your Operations →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/digital-operations,digital-operations.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,Talk to Our Healthcare Team,#contact,Same-page anchor / contact section,cta-band-btn-primary cta-band-btn,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,Download Our Capabilities Overview,#,Placeholder / needs final URL,cta-band-btn-outline,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,Request a Briefing,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,Explore the Portfolio,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,Automation and Intelligence Tools,(button/no href),Button / JS action - needs manual check,fp-pill is-active,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,Vertical AI Solutions,(button/no href),Button / JS action - needs manual check,fp-pill,,,Needs Review,
/frameworks-accelerators,frameworks-accelerators/index.html,AI Enterprise Platforms,(button/no href),Button / JS action - needs manual check,fp-pill,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Explore our delivery models,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Talk to our nearshore team,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Talent Access,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Cost Efficiency,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Time Zone Alignment,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/gcc-nearshore,gcc-nearshore.html,Delivery Governance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Explore our managed programs,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Platform Stability,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Security & Compliance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Cost Optimization,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/hire-train-deploy,hire-train-deploy.html,Upgrade Governance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/how-we-deliver,how-we-deliver.html,Talk to us,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/how-we-deliver,how-we-deliver.html,Back to Home,index.html,Other / needs review,btn-g,,,Needs Review,
/how-we-deliver,how-we-deliver.html,Get in touch,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Explore AI Readiness,index.html,Other / needs review,bridge-card-link,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Explore AI Enablement,index.html,Other / needs review,bridge-card-link,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Explore Automation,index.html,Other / needs review,bridge-card-link,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Explore Delivery Model,index.html,Other / needs review,fwd-card-cta,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Explore Engineering Pods,index.html,Other / needs review,fwd-card-cta,,,Needs Review,
/how-we-do-it,how-we-do-it.html,See Industry Practices,index.html,Other / needs review,fwd-card-cta,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Request an Architecture Review,index.html#contact,Other / needs review,btn-primary,,,Needs Review,
/how-we-do-it,how-we-do-it.html,Download Capability Brief,#,Placeholder / needs final URL,btn-ghost,,,Needs Review,
/,index.html,Talk to an Expert,#contact,Same-page anchor / contact section,cta-primary,,,Needs Review,
/,index.html,Explore the AI-First Digital Engineering Platform,#capabilities,Same-page anchor / contact section,cta-secondary,,,Needs Review,
/,index.html,Learn More,#contact,Same-page anchor / contact section,fc-back-cta,,,Needs Review,
/,index.html,Get Started,#contact,Same-page anchor / contact section,em-cta,,,Needs Review,
/,index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-band-btn,,,Needs Review,
/,index.html,Business Leaders,(button/no href),Button / JS action - needs manual check,spec-header,,,Needs Review,
/,index.html,Technology Leaders,(button/no href),Button / JS action - needs manual check,spec-header,,,Needs Review,
/,index.html,Platform Owners,(button/no href),Button / JS action - needs manual check,spec-header,,,Needs Review,
/,index.html,"Operations, Vendors, Program Managers",(button/no href),Button / JS action - needs manual check,spec-header,,,Needs Review,
/industries,industries.html,Talk to us,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/industries,industries.html,Back to Home,index.html,Other / needs review,btn-g,,,Needs Review,
/industries,industries.html,Get in touch,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/managed-programs,managed-programs.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/managed-programs,managed-programs.html,Explore our managed programs,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/managed-programs,managed-programs.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/managed-programs,managed-programs.html,Platform Stability,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/managed-programs,managed-programs.html,Security & Compliance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/managed-programs,managed-programs.html,Cost Optimization,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/managed-programs,managed-programs.html,Upgrade Governance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Explore CAFE Framework →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Explore HALO Framework →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Explore PACE Platform →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Assess Your Readiness,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/our-focus/ai-adoption,our-focus/ai-adoption/index.html,Explore Our Approach,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Explore Modernization →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Explore Cloud Engineering →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Learn About Teams-as-a-Service →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Explore Our Approach,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/our-focus/ai-first-digital-engineering,our-focus/ai-first-digital-engineering/index.html,Schedule Consultation →,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Explore Further →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Assess Your Cost Structure →,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Speak with Our Cost & Efficiency Practice,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Assess Your Core Structure,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/our-focus/cost-and-efficiency,our-focus/cost-and-efficiency/index.html,Book a Meeting,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/our-focus/digital-experience,our-focus/digital-experience/index.html,Explore Further →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/digital-experience,our-focus/digital-experience/index.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/our-focus/digital-experience,our-focus/digital-experience/index.html,Speak with Our R&C Practice →,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/our-focus/digital-experience,our-focus/digital-experience/index.html,Assess Your Control Environment →,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/our-focus/digital-experience,our-focus/digital-experience/index.html,Assess Your Control Environment,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/our-focus/digital-experience,our-focus/digital-experience/index.html,Schedule a Conversation,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/our-focus,our-focus/index.html,Explore Modernization →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus,our-focus/index.html,Explore Cloud Engineering →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus,our-focus/index.html,Learn About Teams-as-a-Service →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus,our-focus/index.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/our-focus,our-focus/index.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/our-focus,our-focus/index.html,Explore Our Approach,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/our-focus,our-focus/index.html,Schedule Consultation →,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Explore Further →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Speak with Our R&C Practice →,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Assess Your Control Environment →,#assessment,Same-page anchor / contact section,cta-btn cta-band-btn-white,,,Needs Review,
/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Assess Your Control Environment,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/our-focus/risk-and-compliance,our-focus/risk-and-compliance/index.html,Schedule a Conversation,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Explore Guidewire Practice,#,Placeholder / needs final URL,acc-readmore,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Explore Jack Henry Practice,#,Placeholder / needs final URL,acc-readmore,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Explore ServiceNow Practice,#,Placeholder / needs final URL,acc-readmore,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Contact Us About Dynatrace,#,Placeholder / needs final URL,acc-readmore,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Talk to a Practice Lead,#contact,Same-page anchor / contact section,cta-band-btn-primary cta-band-btn,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Explore Individual Partner Pages,#,Placeholder / needs final URL,cta-band-btn-outline,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Explore Our Partner Practices,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/partner-ecosystem,partner-ecosystem.html,Talk to a Practice Lead,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/partners/guidewire,partners/guidewire/index.html,Download Case Study,#,Placeholder / needs final URL,jh-acc-cta,,,Needs Review,
/partners/guidewire,partners/guidewire/index.html,Explore Guidewire Practice,#,Placeholder / needs final URL,acc-readmore,,,Needs Review,
